neutron_number,proton_number,energy,converged,accuracy,chemical-pot_n,chemical-pot_p,Fermi-level_n,Fermi-level_p,pairing-gap_n,pairing-gap_p,pairing-cutoff,pairing-energy_n,pairing-energy_p,pairing-energy_t,effective-strength-G_n,effective-strength-G_p,LN-chemical-pot_n,LN-chemical-pot_p,LN-energy_n,LN-energy_p,LN-energy_t,rms-radius_n,rms-radius_p,rms-radius_t,charge-radius,nuclear-radius,LN-rms-radius_n,LN-rms-radius_p,LN-rms-radius_t,LN-charge-radius,LN-nuclear-radius,beta2-deformation_n,beta2-deformation_p,beta2-deformation_t,LN-beta2-deformation_n,LN-beta2-deformation_p,LN-beta2-deformation_t,dipole-moment_n,dipole-moment_p,dipole-moment_t,quadrupole-moment_n,quadrupole-moment_p,quadrupole-moment_t,LN-quadrupole-moment_n,LN-quadrupole-moment_p,LN-quadrupole-moment_t,octupole-moment_n,octupole-moment_p,octupole-moment_t,hexadecapole-moment_n,hexadecapole-moment_p,hexadecapole-moment_t,LN-hexadecapole-moment_n,LN-hexadecapole-moment_p,LN-hexadecapole-moment_t,q5-moment_n,q5-moment_p,q5-moment_t,q6-moment_n,q6-moment_p,q6-moment_t,q7-moment_n,q7-moment_p,q7-moment_t,q8-moment_n,q8-moment_p,q8-moment_t,kinetic-energy_n,kinetic-energy_p,kinetic-energy_t,volume-energy,rho-tau-energy,rho-rho-energy,surface-energy,rho-Delta-rho-energy,(Nabla-rho)^2-energy,spin-orbit-energy,rho-Nabla-J-energy,Nabla-rho-J-energy,coulomb-energy,direct-coulomb,exchange-coulomb,pairing-coulomb,tensor-energy,direct-hartree,extra-energy,external-field-energy,entropy_n,entropy_p,entropy_t
14,4,-70.533226,True,5.6827e-06,0.466869,-28.228386999999998,0.466869,-28.228386999999998,0.9980600000000001,1.568354,60.0,-3.3991309999999997,-2.8939049999999997,-6.293036,-0.293052,-0.8499700000000001,0.4127270000000001,0.8524780000000001,-1.545993,-1.900636,-3.446629,3.583964,2.419677,3.3602790000000002,2.500098,3.14489,3.579228,2.408141,3.3545059999999998,2.488934,3.14489,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.87286,55.161471,238.034331,-323.461476,-17.50209,-305.959386,31.651142999999998,31.651142999999998,0.0,-10.336811,-10.336811,0.0,3.3192519999999996,4.557142,-1.23789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6,-28.777666999999997,True,8.3822e-06,-23.944907999999998,0.9172959999999999,-23.944907999999998,0.9172959999999999,1.7436580000000002,1.970221,60.0,-2.170973,-5.5700199999999995,-7.740993,-1.4004530000000002,-0.696904,2.4300900000000003,0.953097,-2.746727,-2.977804,-5.7245300000000015,2.055614,2.950232,2.753959,3.076877,2.4,1.998262,2.892175,2.696622,3.021254,2.4,-0.001525,-0.024432,-0.021242,-0.001255,-0.02025,-0.017641999999999998,0.0,0.0,0.0,-0.00016299999999999998,-0.016097,-0.016259,-0.000126,-0.012821,-0.012948,0.0,0.0,0.0,-0.0,0.00015800000000000002,0.00015800000000000002,0.0,8.6e-05,8.6e-05,0.0,0.0,0.0,-0.0,4e-06,4e-06,0.0,0.0,0.0,0.0,-0.0,-0.0,24.563021,68.682929,93.24595,-129.596857,-4.7571699999999995,-124.83968700000001,17.13338,17.13338,0.0,-3.076485,-3.076485,0.0,6.9818679999999995,8.785126,-1.8032580000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,6,-64.966686,True,7.6896e-06,-17.442289000000002,-3.895251,-17.442289000000002,-3.895251,1.567396,2.071413,60.0,-2.716199,-5.243094999999999,-7.959293,-0.904473,-0.818362,0.8874,1.237809,-1.932973,-3.100807,-5.033779,2.27503,2.564844,2.453031,2.702411,2.585322,2.261964,2.538608,2.43173,2.677523,2.585322,0.000212,0.001281,0.0009130000000000001,0.000176,0.001127,0.000798,0.0,0.0,0.0,5.5e-05,0.000638,0.0006929999999999999,4.6e-05,0.00055,0.000595,0.0,0.0,0.0,0.0,6e-06,6e-06,-0.0,5e-06,4e-06,0.0,0.0,0.0,0.0,-2e-06,-2e-06,0.0,0.0,0.0,0.0,-0.0,0.0,59.358596,86.579112,145.93770800000001,-226.246135,-7.353702,-218.892433,29.876886,29.876886,0.0,-9.350686999999999,-9.350686999999999,0.0,7.8086160000000016,9.839081,-2.030465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,-92.50885799999999,True,9.8104e-06,-11.792253,-9.237483000000001,-11.792253,-9.237483000000001,1.33712,1.9205259999999997,60.0,-2.559907,-4.562425,-7.122333,-0.6984199999999999,-0.808434,1.340603,1.3162209999999999,-2.275103,-2.879124,-5.154227,2.468642,2.480619,2.474638,2.6152189999999997,2.747314,2.454714,2.463997,2.4593599999999998,2.599457,2.747314,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.643828,91.84351600000001,182.487344,-295.68278300000014,-9.435856,-286.24692799999997,37.186023,37.186023,0.0,-12.194049,-12.194049,0.0,7.971166999999999,10.053388,-2.082221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,-107.67433500000001,True,7.9536e-06,-6.801546000000001,-14.024354999999998,-6.801546000000001,-14.024354999999998,1.2134989999999999,1.751754,60.0,-2.709409,-3.996926,-6.706334,-0.543506,-0.7677510000000001,1.012664,1.297871,-1.887318,-2.688605,-4.575923,2.682558,2.500171,2.605955,2.626415,2.892171,2.6685939999999997,2.487869,2.592683,2.614707,2.892171,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.78293700000002,90.59859200000001,208.381529,-342.991637,-11.262121,-331.729516,39.545594,39.545594,0.0,-9.182762,-9.182762,0.0,7.855198,9.914530000000001,-2.059332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,6,-114.631876,True,8.364500000000001e-06,-4.072266,-18.082982,-4.072266,-18.082982,1.306131,1.603402,60.0,-3.8223559999999996,-3.5128470000000003,-7.3352020000000016,-0.446316,-0.7318560000000001,0.4224479999999999,1.272198,-1.389725,-2.5106080000000004,-3.9003330000000003,2.881498,2.521907,2.752163,2.639795,3.0238110000000002,2.868933,2.511879,2.740495,2.630216,3.0238110000000002,-1e-06,-1e-06,-1e-06,-1e-06,-1e-06,-1e-06,0.0,0.0,0.0,-1e-06,-0.0,-1e-06,-1e-06,-1e-06,-1e-06,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,152.409745,89.34432,241.754065,-383.714428,-14.546099,-369.16832999999997,41.546388,41.546388,0.0,-10.745621,-10.745621,0.0,7.763256,9.802187,-2.0389310000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,6,-119.336069,True,2.2982e-06,-2.980506,-21.490624,-2.980506,-21.490624,1.286562,1.452481,60.0,-4.259263,-2.998087,-7.25735,-0.38862199999999997,-0.703683,0.34560100000000005,1.251044,-1.476431,-2.327623,-3.8040540000000003,3.068189,2.541856,2.903366,2.6515720000000003,3.14489,3.0573259999999998,2.533286,2.893212,2.643357,3.14489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,186.01121,88.089239,274.100449,-419.548679,-18.483773,-401.06490499999995,43.249895,43.249895,0.0,-13.768657000000001,-13.768657000000001,0.0,7.6923270000000015,9.713891,-2.021564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,6,-123.160008,True,9.9021e-06,-2.0297490000000002,-24.364842000000003,-2.0297490000000002,-24.364842000000003,1.074902,1.37686,60.0,-3.3778900000000003,-2.7971060000000003,-6.174996,-0.342052,-0.677752,0.46838599999999997,1.228265,-1.624267,-2.2345610000000002,-3.858827,3.241613,2.5646150000000003,3.054311,2.6661490000000003,3.257301,3.235141,2.556748,3.0475209999999997,2.658583,3.257301,-0.007261,-0.001371,-0.0060149999999999995,-0.007645999999999998,-0.0014880000000000002,-0.006346,0.0,0.0,0.0,-0.013477000000000001,-0.000682,-0.014159,-0.014134,-0.000736,-0.014871,0.0,0.0,0.0,0.000109,-0.0,0.000109,0.000109,-0.0,0.000109,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,-5e-05,0.0,-5e-05,214.614246,86.844102,301.458348,-450.617513,-22.272907,-428.34460599999994,44.413025,44.413025,0.0,-15.999088,-15.999088,0.0,7.619043,9.621824,-2.002781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,6,-125.058186,True,8.2328e-06,-0.707634,-26.604765000000004,-0.707634,-26.604765000000004,0.841568,1.289303,60.0,-2.432487,-2.5384450000000003,-4.9709330000000005,-0.291157,-0.65485,0.710553,1.186149,-1.6766889999999999,-2.1086810000000002,-3.78537,3.4251080000000003,2.595549,3.220129,2.688731,3.362447,3.4104419999999998,2.588403,3.207214,2.681833,3.362447,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,237.968623,84.94655,322.915173,-475.270979,-25.368831,-449.90214800000007,44.508204,44.508204,0.0,-15.980464000000001,-15.980464000000001,0.0,7.526182,9.504597,-1.978416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,6,-123.339701,True,8.8831e-06,0.461271,-28.207987,0.461271,-28.207987,0.661195,1.233254,60.0,-1.780962,-2.4187529999999997,-4.199715,-0.245473,-0.6288020000000001,0.49983599999999995,1.122328,-1.307377,-2.020334,-3.327711,3.613542,2.640839,3.396582,2.725387,3.4613989999999997,3.590301,2.634166,3.3767449999999997,2.718921,3.4613989999999997,-0.008147,0.000297,-0.0068709999999999995,-0.0066359999999999995,0.000331,-0.005577,0.0,0.0,0.0,-0.024156999999999998,0.000157,-0.024000999999999998,-0.019426,0.000174,-0.019252000000000002,0.0,0.0,0.0,-0.00028199999999999997,-0.0,-0.00028199999999999997,-0.000589,-0.0,-0.000589,0.0,0.0,0.0,0.000236,0.0,0.000236,0.0,0.0,0.0,0.000196,-0.0,0.000196,256.98026600000003,82.273996,339.254261,-492.94168099999996,-27.451064000000002,-465.490617,43.229763,43.229763,0.0,-12.749993,-12.749993,0.0,7.395375,9.339524,-1.9441490000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
