proton_number,neutron_number,energy,converged,accuracy,chemical-pot_n,chemical-pot_p,Fermi-level_n,Fermi-level_p,pairing-gap_n,pairing-gap_p,pairing-cutoff,pairing-energy_n,pairing-energy_p,pairing-energy_t,effective-strength-G_n,effective-strength-G_p,LN-chemical-pot_n,LN-chemical-pot_p,LN-energy_n,LN-energy_p,LN-energy_t,rms-radius_n,rms-radius_p,rms-radius_t,charge-radius,nuclear-radius,LN-rms-radius_n,LN-rms-radius_p,LN-rms-radius_t,LN-charge-radius,LN-nuclear-radius,beta2-deformation_n,beta2-deformation_p,beta2-deformation_t,LN-beta2-deformation_n,LN-beta2-deformation_p,LN-beta2-deformation_t,dipole-moment_n,dipole-moment_p,dipole-moment_t,quadrupole-moment_n,quadrupole-moment_p,quadrupole-moment_t,LN-quadrupole-moment_n,LN-quadrupole-moment_p,LN-quadrupole-moment_t,octupole-moment_n,octupole-moment_p,octupole-moment_t,hexadecapole-moment_n,hexadecapole-moment_p,hexadecapole-moment_t,LN-hexadecapole-moment_n,LN-hexadecapole-moment_p,LN-hexadecapole-moment_t,q5-moment_n,q5-moment_p,q5-moment_t,q6-moment_n,q6-moment_p,q6-moment_t,q7-moment_n,q7-moment_p,q7-moment_t,q8-moment_n,q8-moment_p,q8-moment_t,kinetic-energy_n,kinetic-energy_p,kinetic-energy_t,volume-energy,rho-tau-energy,rho-rho-energy,surface-energy,rho-Delta-rho-energy,(Nabla-rho)^2-energy,spin-orbit-energy,rho-Nabla-J-energy,Nabla-rho-J-energy,coulomb-energy,direct-coulomb,exchange-coulomb,pairing-coulomb,tensor-energy,direct-hartree,extra-energy,external-field-energy,entropy_n,entropy_p,entropy_t
4,14,-59.810234,True,5.5393e-06,1.319389,-26.883884,1.319389,-26.883884,0.816613,1.594436,60.0,-2.4506650000000003,-2.908831,-5.359495,-0.272112,-0.8739680000000001,0.39856,0.791933,-1.33796,-1.801534,-3.139494,3.773078,2.433447,3.519725,2.513427,3.14489,3.763192,2.422937,3.509868,2.503253,3.14489,0.0,1e-06,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,1e-06,0.0,1e-06,1e-06,0.0,1e-06,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,178.334824,57.449347,235.784171,-309.079337,-4.768187,-304.311151,27.966567,27.966567,0.0,-9.289994,-9.289994,0.0,3.307348,4.53945,-1.232101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2,-18.783926,True,4.9586e-06,-21.606759,2.1503520000000003,-21.606759,2.1503520000000003,1.530428,1.225427,60.0,-1.5866049999999998,-2.517096,-4.103701,-1.47624,-0.596589,2.935737,0.807083,-2.721187,-2.05157,-4.772757,2.106041,3.196142,2.961477,3.3134,2.4,2.049067,3.121696,2.891091,3.241649,2.4,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.377865,66.398445,91.77631,-119.082287,-0.979879,-118.102408,13.475495,13.475495,0.0,-2.605798,-2.605798,0.0,6.528813,8.211811,-1.682998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4,-54.238374,True,8.0088e-06,-16.22863,-2.69472,-16.22863,-2.69472,1.547724,1.5113370000000002,60.0,-2.492535,-2.843599,-5.336134,-0.96105,-0.8032560000000001,0.8223889999999999,1.230201,-1.7843639999999998,-2.511376,-4.29574,2.3041150000000004,2.643776,2.513426,2.777436,2.585322,2.293642,2.6127740000000004,2.490035,2.747943,2.585322,-0.000849,-0.005076,-0.003655,-0.001499,-0.0044210000000000005,-0.003429,0.0,0.0,0.0,-0.000227,-0.0026850000000000003,-0.002913,-0.000398,-0.002284,-0.002682,0.0,0.0,0.0,-2e-06,-6e-06,-8e-06,-2e-06,-9e-06,-1.1e-05,0.0,0.0,0.0,0.0,2e-06,3e-06,0.0,0.0,0.0,0.0,2e-06,2e-06,63.858942000000006,88.75921899999999,152.618161,-220.591802,-0.77869,-219.813111,23.791266,23.791266,0.0,-8.072842999999999,-8.072842999999999,0.0,7.648716999999999,9.632699,-1.983981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,-83.18434599999998,True,6.765900000000002e-06,-11.282314,-8.667474,-11.282314,-8.667474,1.238475,1.52076,60.0,-2.024673,-2.787857,-4.8125300000000015,-0.757564,-0.829565,1.291947,1.310063,-2.090412,-2.444762,-4.535174,2.485686,2.500429,2.493068,2.634017,2.747314,2.472295,2.484963,2.478637,2.61934,2.747314,0.000282,0.000356,0.000319,0.000269,0.000299,0.000284,0.0,0.0,0.0,0.000132,0.000168,0.0003,0.000125,0.00014,0.000264,0.0,0.0,0.0,-0.0,-0.0,-1e-06,-1e-06,-0.0,-1e-06,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.613328,96.183014,192.796342,-294.181419,-0.69617,-293.485249,30.194767,30.194767,0.0,-10.580848,-10.580848,0.0,7.934517,10.00515,-2.0706330000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,-99.873914,True,8.4296e-06,-5.577275,-14.175795,-5.577275,-14.175795,1.055525,1.496498,60.0,-1.954668,-2.790793,-4.745461,-0.569986,-0.802462,1.345218,1.2331450000000002,-1.941716,-2.334389,-4.276105,2.710139,2.500318,2.622273,2.626555,2.892171,2.692287,2.490415,2.607685,2.61713,2.892171,0.001051,0.000267,0.000746,0.000664,0.000263,0.0005070000000000001,0.0,0.0,0.0,0.000779,0.000126,0.000905,0.0004860000000000001,0.000124,0.000609,0.0,0.0,0.0,1e-06,-0.0,1e-06,2e-06,-0.0,2e-06,0.0,0.0,0.0,-2e-06,0.0,-2e-06,0.0,0.0,0.0,1e-06,0.0,1e-06,122.42715,95.566171,217.993321,-342.368799,-1.092431,-341.276368,32.813085,32.813085,0.0,-7.153435000000001,-7.153435000000001,0.0,7.86348,9.924626,-2.061146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,10,-105.264685,True,8.0887e-06,-2.470181,-18.386026,-2.470181,-18.386026,1.1525610000000002,1.454452,60.0,-2.948745,-2.759579,-5.708324,-0.450496,-0.766578,0.364298,1.171013,-1.149651,-2.247811,-3.397461,2.943204,2.523782,2.79331,2.641586,3.023811,2.927932,2.515647,2.780498,2.633815,3.023811,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,156.283614,93.73885,250.022464,-379.926596,-2.152198,-377.774398,34.927505,34.927505,0.0,-8.944979,-8.944979,0.0,7.762706,9.801324,-2.038618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,12,-109.295831,True,7.636599999999999e-06,-1.809241,-21.743076,-1.809241,-21.743076,1.191437,1.394373,60.0,-3.632792,-2.653418,-6.28621,-0.390753,-0.732744,0.318989,1.122833,-1.352272,-2.154607,-3.506878,3.155284,2.549355,2.967089,2.658761,3.14489,3.144686,2.5418990000000004,2.95744,2.651613,3.14489,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06,0.0,0.0,0.0,3e-06,1e-06,3e-06,4e-06,1e-06,4e-06,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,188.526891,91.816039,280.34293,-412.510657,-3.628672,-408.881985,36.935623,36.935623,0.0,-11.943603,-11.943603,0.0,7.672964,9.689434,-2.01647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,14,-112.745711,True,8.4022e-06,-1.167945,-24.594216,-1.167945,-24.594216,0.990386,1.307673,60.0,-2.858036,-2.428026,-5.286062,-0.343195,-0.70428,0.44675,1.0710879999999998,-1.505147,-2.018065,-3.523211,3.343075,2.57484,3.132451,2.675986,3.257301,3.339283,2.567967,3.127924,2.669373,3.257301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,216.217939,89.87633100000002,306.094269,-441.910355,-5.255714,-436.654642,38.852012,38.852012,0.0,-14.563061,-14.563061,0.0,7.590698,9.586185,-1.995487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,16,-114.5974,True,8.5913e-06,0.13546,-26.882642,0.13546,-26.882642,0.795638,1.2405469999999998,60.0,-2.183801,-2.267462,-4.451263,-0.28988,-0.678714,0.769736,1.016247,-1.70575,-1.904771,-3.610521,3.5284440000000004,2.606026,3.3025260000000003,2.698846,3.362447,3.507317,2.599586,3.284727,2.692628,3.362447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,239.618945,87.65093,327.269875,-466.092852,-6.790765,-459.302087,39.942149,39.942149,0.0,-15.151001999999998,-15.151001999999998,0.0,7.496213000000001,9.467193,-1.97098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,18,-112.09514,True,3.8777e-06,1.314238,-28.39347,1.314238,-28.39347,0.569318,1.195498,60.0,-1.40349,-2.17627,-3.57976,-0.230941,-0.6567270000000001,0.37438,0.957392,-1.007843,-1.817711,-2.825554,3.749842,2.644865,3.506396,2.729288,3.461399,3.7165550000000014,2.638734,3.4785510000000004,2.723347,3.461399,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,256.588017,85.04099699999998,341.629013,-481.624156,-7.848046000000001,-473.77611,39.481294,39.481294,0.0,-12.560827,-12.560827,0.0,7.384848,9.326631,-1.9417830000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
